方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
当归建中汤,温里剂,当归：，12g；桂心：，9g；甘草：炙，6g；大枣：擘，6枚；芍药：，18g；生姜：，9g；
吴茱萸汤,温里剂,吴茱萸：洗，9g；人参：，9g；生姜：切，18g；大枣：擘，4枚；
大建中汤,温里剂,蜀椒：炒去汗，6g；干姜：，12g；人参：，6g；
四逆汤,温里剂,甘草：炙，6g；干姜：，6g；附子：生用，去皮，破八片，15g；
通脉四逆汤,温里剂,甘草：炙，6g；干姜：，9～12g；附子：生用，去皮，破八片，20g；
四逆加人参汤,温里剂,甘草：炙，6g；干姜：，9g；附子：生用，去皮，破八片，15g；人参：，6g；
白通汤,温里剂,葱白：，6g；干姜：，3g；附子：生用，去皮，破八片，15g；
参附汤,温里剂,人参：，12g；附子：炮，去皮，9g；
回阳救急汤,温里剂,熟附子：，9g；干姜：，6g；人参：，6g；甘草：炙，6g；白术：炒，9g；肉桂：，3g；陈皮：，6g；五味子：，3g；茯苓：，9g；半夏制：，9g；
附方回阳救急汤,温里剂,黑附块：，9g；紫瑶桂：，1.5g；别直参：，6g；原麦冬：辰砂染，9g；川姜：，6g；姜半夏：，3g；湖广术：，5g；北五味：，1g；炒广皮：，3g；清炙草：，3g；真麝香冲：，0.1g；
当归四逆汤,温里剂,当归：，9g；桂枝：去皮，9g；芍药：，9g；细辛：，3g；甘草：炙，6g；通草：，6g；大枣：擘，8枚；
当归四逆加吴茱萸生姜汤,温里剂,当归：，12g；芍药：，9g；甘草：炙，6g；通草：，6g；桂枝：去皮，9g；细辛：，3g；生姜：切，12g；吴茱萸：，9g；大枣：擘，8枚；
黄芪桂枝五物汤,温里剂,黄芪：，9g；芍药：，9g；桂枝：，9g；生姜：，18g；大枣：，4枚；
暖肝煎,温里剂,当归：，6-9g；枸杞子：，9g；茯苓：，6g；小茴香：，6g；肉桂：，3-6g；乌药：，6g；沉香：，3g；
阳和汤,温里剂,熟地黄：，30g；麻黄：，2g；鹿角胶：，9g；白芥子：炒研，6g；肉桂：去皮，研粉，3g；生甘草：，3g；炮姜：炭，2g；
小金丹,温里剂,白胶香：制末，150g；草乌：制末，150g；五灵脂：制末，150g；地龙：制末，150g；木鳖：制末，150g；没药：净末，75g；归身：净末，75g；乳香：净末，75g；麝香：，15g；墨炭：，12g；
葛根黄苓黄连汤,表里双解剂,葛根：，15g；甘草：炙，6g；黄苓：，9g；黄连：，9g；
五积散,表里双解剂,苍术：，15g；桔梗：，15g；枳壳：，9g；陈皮：，9g；芍药：汤泡，5g；白芷：汤泡，5g；川芎：汤泡，5g；川当归：汤泡，5g；甘草：汤泡，5g；肉桂：汤泡，5g；茯苓：汤泡，5g；半夏：汤泡，5g；厚朴：，6g；干姜：，6g；麻黄：去根&节，6g；
大柴胡汤,表里双解剂,柴胡：，24g；黄苓：，9g；芍药：，9g；半夏：洗，9g；枳实：炙，9g；大黄：，6g；大枣：擘，4枚；生姜：切，15g；
防风通圣散,表里双解剂,防风：，6g；川芎：，6g；当归：，6g；芍药：，6g；大黄：，6g；薄荷叶：，6g；麻黄：，6g；连翘：，6g；芒硝：，6g；石膏：，12g；黄苓：，12g；桔梗：，12g；滑石：，20g；甘草：，10g；荆芥：，3g；白术：，3g；栀子：，3g；
